timestamps,buyVolumes,sellVolumes,plot,openInterests,open,high,low,close,vol,p,buyinfo,sellinfo
2021/5/30 13:50,16624177,15613484,1.064732061,423781300,2376.24,2380.1,2367.4,2374.02,165425,696.7226,,
2021/5/30 13:55,6676099,6717195,0.99388197,422169968,2373.84,2374.8,2366.98,2371.7,125677,529.9936,,
2021/5/30 14:00,4245363,4968745,0.854413539,422140914,2374.76,2400.42,2374.76,2397.07,358320,1498.5071,,
2021/5/30 14:05,10668039,9185957,1.161342144,422626084,2397.97,2417.38,2397.65,2404.61,284241,1180.7487,,
2021/5/30 14:10,7380489,7963644,0.926772844,422080998,2404.44,2406.57,2390.61,2394.1,184023,766.958,,
2021/5/30 14:15,5038289,6994625,0.720308666,422617274,2394.85,2404.94,2394.1,2404.27,209857,874.4002,,
2021/5/30 14:20,6922341,6520637,1.061605024,422603487,2404.25,2415.39,2399.39,2401,179535,745.6076,,
2021/5/30 14:25,6850615,7804437,0.87778465,422676465,2400.61,2407.89,2396.42,2396.5,117270,488.041,,
2021/5/30 14:30,6835256,6880435,0.9934337,422851337,2396.55,2403.79,2378.1,2388.01,232992,974.9148,,
2021/5/30 14:35,10110315,12304132,0.821700791,422225521,2388.3,2415.37,2388,2413.36,277140,1152.8708,,
2021/5/30 14:40,9596574,9739323,0.985343026,422179511,,,,,,,,
