date,open,close,high,low,volume,average,barCount
2019-09-18 22:45:00,27059.0,27053.0,27061.0,27039.0,2178,27050.63333333333,1159
2019-09-18 23:00:00,27052.0,27049.0,27054.0,27042.0,1416,27047.51333333333,801
2019-09-18 23:15:00,27049.0,27050.0,27062.0,27046.0,1219,27053.86666666668,673
2019-09-18 23:30:00,27050.0,27023.0,27051.0,27022.0,1762,27032.279999999995,880
2019-09-18 23:45:00,27022.0,27047.0,27048.0,27021.0,1326,27032.680000000004,714
2019-09-19 00:00:00,27047.0,27039.0,27051.0,27033.0,1270,27039.75333333333,622
2019-09-19 00:15:00,27040.0,27049.0,27052.0,27040.0,925,27045.42,452
2019-09-19 00:30:00,27050.0,27045.0,27060.0,27040.0,985,27052.22,529
2019-09-19 00:45:00,27046.0,27038.0,27049.0,27038.0,685,27044.18,371
2019-09-19 01:00:00,27038.0,27041.0,27042.0,27027.0,1194,27034.05333333333,661
2019-09-19 01:15:00,27040.0,27022.0,27045.0,27019.0,1296,27036.59333333333,680
2019-09-19 01:30:00,27022.0,27046.0,27049.0,27018.0,1798,27033.373333333337,896
2019-09-19 01:45:00,27046.0,27054.0,27068.0,27043.0,1324,27054.30666666667,777
2019-09-19 02:00:00,27054.0,26946.0,27100.0,26932.0,16773,27028.26666666667,10162
2019-09-19 02:15:00,26946.0,26943.0,26977.0,26918.0,6644,26945.44666666667,4154
2019-09-19 02:30:00,26944.0,26947.0,26958.0,26905.0,6085,26930.693333333336,4104
2019-09-19 02:45:00,26945.0,26964.0,26987.0,26900.0,7134,26947.25333333333,4489
2019-09-19 03:00:00,26963.0,27014.0,27030.0,26947.0,6015,26988.3,3516
2019-09-19 03:15:00,27014.0,27051.0,27061.0,27009.0,5512,27040.13333333333,2891
2019-09-19 03:30:00,27052.0,27155.0,27158.0,27052.0,8013,27114.886666666665,4286
2019-09-19 03:45:00,27156.0,27147.0,27165.0,27123.0,6454,27138.11333333333,3587
2019-09-19 04:00:00,27147.0,27144.0,27179.0,27139.0,4307,27160.8,2025
2019-09-19 04:30:00,27145.0,27166.0,27182.0,27145.0,948,27159.79333333333,573
2019-09-19 04:45:00,27166.0,27153.0,27176.0,27151.0,551,27165.033333333336,308
2019-09-19 06:00:00,27170.0,27142.0,27170.0,27141.0,554,27146.95333333333,311
2019-09-19 06:15:00,27142.0,27152.0,27152.0,27138.0,289,27144.13333333333,132
2019-09-19 06:30:00,27153.0,27159.0,27160.0,27149.0,744,27155.70666666667,350
2019-09-19 06:45:00,27158.0,27151.0,27165.0,27148.0,483,27159.76,271
2019-09-19 07:00:00,27151.0,27147.0,27156.0,27143.0,285,27148.23333333333,189
2019-09-19 07:15:00,27148.0,27139.0,27149.0,27138.0,336,27143.94666666667,187
2019-09-19 07:30:00,27139.0,27123.0,27143.0,27118.0,1027,27128.906666666666,454
2019-09-19 07:45:00,27124.0,27128.0,27135.0,27121.0,575,27126.71333333333,258
2019-09-19 08:00:00,27129.0,27127.0,27147.0,27123.0,589,27139.320000000003,383
2019-09-19 08:15:00,27127.0,27156.0,27159.0,27126.0,564,27144.246666666666,350
2019-09-19 08:30:00,27157.0,27159.0,27172.0,27155.0,536,27162.20666666666,305
2019-09-19 08:45:00,27159.0,27145.0,27171.0,27142.0,484,27152.61333333333,295
2019-09-19 09:00:00,27146.0,27142.0,27159.0,27142.0,347,27149.06666666667,217
2019-09-19 09:15:00,27143.0,27157.0,27160.0,27138.0,355,27150.5,242
2019-09-19 09:30:00,27157.0,27123.0,27157.0,27121.0,526,27137.16,356
2019-09-19 09:45:00,27122.0,27104.0,27124.0,27097.0,990,27113.53333333333,601
2019-09-19 10:00:00,27104.0,27110.0,27115.0,27095.0,712,27109.48,423
2019-09-19 10:15:00,27109.0,27106.0,27110.0,27099.0,402,27106.07333333333,227
2019-09-19 10:30:00,27107.0,27100.0,27110.0,27091.0,374,27105.26666666667,230
2019-09-19 10:45:00,27100.0,27096.0,27104.0,27092.0,463,27098.10666666667,315
2019-09-19 11:00:00,27098.0,27080.0,27101.0,27077.0,471,27093.64666666667,300
2019-09-19 11:15:00,27081.0,27092.0,27097.0,27072.0,566,27086.46666666667,354
2019-09-19 11:30:00,27093.0,27065.0,27093.0,27058.0,848,27070.66,538
2019-09-19 11:45:00,27065.0,27074.0,27075.0,27061.0,380,27068.4,268
2019-09-19 12:00:00,27075.0,27084.0,27086.0,27075.0,392,27080.59333333333,247
2019-09-19 12:15:00,27084.0,27089.0,27089.0,27077.0,300,27082.84000000001,191
2019-09-19 12:30:00,27089.0,27087.0,27093.0,27085.0,285,27088.05333333333,200
2019-09-19 12:45:00,27086.0,27078.0,27087.0,27076.0,303,27081.06666666668,190
2019-09-19 13:00:00,27080.0,27085.0,27087.0,27070.0,388,27077.97333333333,233
2019-09-19 13:15:00,27085.0,27076.0,27092.0,27076.0,308,27086.92,199
2019-09-19 13:30:00,27076.0,27082.0,27089.0,27075.0,266,27081.926666666666,170
2019-09-19 13:45:00,27083.0,27090.0,27090.0,27073.0,540,27081.21333333333,262
